"id","name_en","name_th","description","version","source","updated_at","location","skills","drops","recommended_level","strategy"
"woken_machine","Woken Machine","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Unknown Ruins (2F) in Desolate Meadow","","[""Light Tablet""]","",""
"protector_of_relics","Protector of Relics","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Dimensional Ruins in Barren Valley","","[""Water Tablet""]","",""
"death","Death","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Unknown Ruins in Dense Jungle","","[""Light Tablet""]","",""
"cursed_tree","Cursed Tree","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Unknown Ruins in Frozen Hill","","[""Light Tablet""]","",""
"minotaur_leader","Minotaur Leader","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ancient Mine (15F) in Frozen Hill","","[""Light Tablet""]","",""
"dark_lord","Dark Lord","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Dark Lord's Castle via Dark Relic at Ancient Gate in Endless Wasteland","","[""Permanent Dark Potion buff in Ending 3""]","",""
"earth_spirit_king","Earth Spirit King","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Spirit King's World via Elven Relic at Ancient Gate in Endless Wasteland","","","","Ending 3 only."
"dark_lord_of_terror","Dark Lord of Terror","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Corrupted Spirit King's World via Elven Relic at Ancient Gate in Endless Wasteland","","","","Ending 4 only."
"forgotten_guardian","Forgotten Guardian","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Suspicious Dungeon (2F) in Forest Entrance","","[""Light Tablet""]","",""
"ruins_golem","Ruins Golem","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Unknown Ruins (2F) in Desolate Meadow","","[""Dark Relic Piece""]","",""
"strong_ruins_golem","Strong Ruins Golem","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Unknown Ruins in Frozen Hill","","[""Dark Relic Piece""]","",""
"rotten_mine_supervisor","Rotten Mine Supervisor","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ancient Mine (4F) in Frozen Hill; Difficult only","","[""Snow Totem Decor""]","",""
"dark_knight","Dark Knight","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ancient Mine (11F) in Frozen Hill","","[""Dwarf Relic Piece""]","",""
"light_gatekeeper","Light Gatekeeper","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Ancient Mine (15F) in Frozen Hill","","","","Unlocks Ending 3 if defeated before entering Dark Lord's Castle."
"demon_of_pain","Demon of Pain","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Unknown Ruins in Dwarf Ruins, Burning Canyon","","[""Light Tablet""]","",""
"ancient_ruins_golem","Ancient Ruins Golem","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Unknown Ruins in Dwarf Ruins, Burning Canyon","","[""Dark Relic Piece""]","",""
"corrupted_goblin","Corrupted Goblin","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Dwarf Ruins in Burning Canyon","","","",""
"dwarf_robot","Dwarf Robot","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Dwarf Ruins in Burning Canyon","","[""Broken Ancient Mythril Forge""]","",""
"ancient_protector_of_ruins","Ancient Protector of Ruins","","","","[""https://the-wild-darkness.fandom.com/wiki/Bosses""]","2026-07-20","Dimensional Ruins in Sealed Land","","[""Lunar Tablet""]","",""
